 drug_name,age_group,warning,severity,alternative,note
Promethazine Variant17,Neonates,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant18,Adult,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Chloramphenicol Variant19,<18,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant20,Elderly,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Dexamethasone Variant21,Adult,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant22,Elderly,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Prednisone Variant23,Pediatric,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant24,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Codeine Variant25,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Codeine Variant26,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Promethazine Variant27,<2 years,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Aspirin Variant28,Pediatric,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant29,All,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant30,<2 years,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant31,All,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant32,All,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant33,<18,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant34,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant35,<18,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant36,<18,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Metoclopramide Variant37,Adult,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Dexamethasone Variant38,Pediatric,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant39,Adult,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant40,Pediatric,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Codeine Variant41,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Prednisone Variant42,Neonates,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant43,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Dexamethasone Variant44,All,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant45,Pediatric,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant46,<18,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant47,Adult,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant48,Pediatric,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant49,Neonates,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant50,All,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Codeine Variant51,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Prednisone Variant52,<18,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant53,All,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant54,All,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Codeine Variant55,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Lorazepam Variant56,<2 years,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant57,Neonates,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant58,<18,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant59,Adult,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant60,All,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Codeine Variant61,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant62,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant63,<2 years,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Promethazine Variant64,Pediatric,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant65,<18,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant66,All,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant67,Pediatric,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Prednisone Variant68,Neonates,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant69,Pediatric,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant70,Elderly,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Codeine Variant71,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant72,Neonates,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Metoclopramide Variant73,<18,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Codeine Variant74,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant75,All,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant76,All,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant77,Pediatric,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant78,<18,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Prednisone Variant79,<2 years,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant80,<2 years,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant81,Elderly,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant82,<18,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Lorazepam Variant83,All,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant84,Elderly,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant85,Neonates,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant86,Elderly,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Hydroxyzine Variant87,Neonates,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant88,<18,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Aspirin Variant89,Pediatric,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant90,Elderly,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant91,All,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Dexamethasone Variant92,Adult,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant93,Neonates,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Promethazine Variant94,<18,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Prednisone Variant95,Pediatric,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant96,<18,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant97,Adult,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant98,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Metoclopramide Variant99,All,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Prednisone Variant0,<2 years,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant1,Adult,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Metoclopramide Variant2,Adult,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Prednisone Variant3,Elderly,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant4,Neonates,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant5,Neonates,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant6,<2 years,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant7,Adult,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant8,Elderly,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant9,Neonates,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Aspirin Variant10,Adult,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Dexamethasone Variant11,<18,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant12,<18,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Hydroxyzine Variant13,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant14,Adult,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant15,Neonates,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant16,Pediatric,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Ciprofloxacin Variant17,Elderly,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant18,<18,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant19,<2 years,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant20,Adult,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant21,<18,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant22,All,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant23,Neonates,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Metoclopramide Variant24,Adult,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Lorazepam Variant25,All,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant26,All,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant27,All,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant28,<2 years,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Prednisone Variant29,All,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
